"REF_DATE","GEO","DGUID","Labour force characteristics","Educational attainment","Gender","Age group","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2025","Canada","2021A000011124","Population","High school graduate","Total - Gender","25 years and over","Persons in thousands","428","thousands","3","v2582574","1.1.4.1.3","5187.3","","","","1"
"2015","Canada","2021A000011124","Population","High school graduate","Men+","25 years and over","Persons in thousands","428","thousands","3","v2583384","1.1.4.2.3","2409.9","","","","1"
"2016","Canada","2021A000011124","Population","High school graduate","Men+","25 years and over","Persons in thousands","428","thousands","3","v2583384","1.1.4.2.3","2381.2","","","","1"
"2017","Canada","2021A000011124","Population","High school graduate","Men+","25 years and over","Persons in thousands","428","thousands","3","v2583384","1.1.4.2.3","2432.7","","","","1"
"2018","Canada","2021A000011124","Population","High school graduate","Men+","25 years and over","Persons in thousands","428","thousands","3","v2583384","1.1.4.2.3","2476.3","","","","1"
"2019","Canada","2021A000011124","Population","High school graduate","Men+","25 years and over","Persons in thousands","428","thousands","3","v2583384","1.1.4.2.3","2422.5","","","","1"
"2020","Canada","2021A000011124","Population","High school graduate","Men+","25 years and over","Persons in thousands","428","thousands","3","v2583384","1.1.4.2.3","2469.6","","","","1"
"2021","Canada","2021A000011124","Population","High school graduate","Men+","25 years and over","Persons in thousands","428","thousands","3","v2583384","1.1.4.2.3","2529.2","","","","1"
"2022","Canada","2021A000011124","Population","High school graduate","Men+","25 years and over","Persons in thousands","428","thousands","3","v2583384","1.1.4.2.3","2537.7","","","","1"
"2023","Canada","2021A000011124","Population","High school graduate","Men+","25 years and over","Persons in thousands","428","thousands","3","v2583384","1.1.4.2.3","2531.9","","","","1"
"2024","Canada","2021A000011124","Population","High school graduate","Men+","25 years and over","Persons in thousands","428","thousands","3","v2583384","1.1.4.2.3","2546.3","","","","1"
"2025","Canada","2021A000011124","Population","High school graduate","Men+","25 years and over","Persons in thousands","428","thousands","3","v2583384","1.1.4.2.3","2657.8","","","","1"
"2015","Canada","2021A000011124","Population","High school graduate","Women+","25 years and over","Persons in thousands","428","thousands","3","v2584194","1.1.4.3.3","2533.9","","","","1"
"2016","Canada","2021A000011124","Population","High school graduate","Women+","25 years and over","Persons in thousands","428","thousands","3","v2584194","1.1.4.3.3","2523.3","","","","1"
"2017","Canada","2021A000011124","Population","High school graduate","Women+","25 years and over","Persons in thousands","428","thousands","3","v2584194","1.1.4.3.3","2575.7","","","","1"
"2018","Canada","2021A000011124","Population","High school graduate","Women+","25 years and over","Persons in thousands","428","thousands","3","v2584194","1.1.4.3.3","2543.8","","","","1"
"2019","Canada","2021A000011124","Population","High school graduate","Women+","25 years and over","Persons in thousands","428","thousands","3","v2584194","1.1.4.3.3","2491.4","","","","1"
"2020","Canada","2021A000011124","Population","High school graduate","Women+","25 years and over","Persons in thousands","428","thousands","3","v2584194","1.1.4.3.3","2497.4","","","","1"
"2021","Canada","2021A000011124","Population","High school graduate","Women+","25 years and over","Persons in thousands","428","thousands","3","v2584194","1.1.4.3.3","2529.2","","","","1"
"2022","Canada","2021A000011124","Population","High school graduate","Women+","25 years and over","Persons in thousands","428","thousands","3","v2584194","1.1.4.3.3","2485.7","","","","1"
"2023","Canada","2021A000011124","Population","High school graduate","Women+","25 years and over","Persons in thousands","428","thousands","3","v2584194","1.1.4.3.3","2488.2","","","","1"
"2024","Canada","2021A000011124","Population","High school graduate","Women+","25 years and over","Persons in thousands","428","thousands","3","v2584194","1.1.4.3.3","2475.6","","","","1"
"2025","Canada","2021A000011124","Population","High school graduate","Women+","25 years and over","Persons in thousands","428","thousands","3","v2584194","1.1.4.3.3","2529.5","","","","1"
"2015","Canada","2021A000011124","Population","Some postsecondary","Total - Gender","25 years and over","Persons in thousands","428","thousands","3","v2582575","1.1.5.1.3","1091.3","","","","1"
"2016","Canada","2021A000011124","Population","Some postsecondary","Total - Gender","25 years and over","Persons in thousands","428","thousands","3","v2582575","1.1.5.1.3","1119.8","","","","1"
"2017","Canada","2021A000011124","Population","Some postsecondary","Total - Gender","25 years and over","Persons in thousands","428","thousands","3","v2582575","1.1.5.1.3","1132.2","","","","1"
"2018","Canada","2021A000011124","Population","Some postsecondary","Total - Gender","25 years and over","Persons in thousands","428","thousands","3","v2582575","1.1.5.1.3","1168.0","","","","1"
"2019","Canada","2021A000011124","Population","Some postsecondary","Total - Gender","25 years and over","Persons in thousands","428","thousands","3","v2582575","1.1.5.1.3","1089.1","","","","1"
"2020","Canada","2021A000011124","Population","Some postsecondary","Total - Gender","25 years and over","Persons in thousands","428","thousands","3","v2582575","1.1.5.1.3","1111.1","","","","1"
"2021","Canada","2021A000011124","Population","Some postsecondary","Total - Gender","25 years and over","Persons in thousands","428","thousands","3","v2582575","1.1.5.1.3","1008.5","","","","1"
"2022","Canada","2021A000011124","Population","Some postsecondary","Total - Gender","25 years and over","Persons in thousands","428","thousands","3","v2582575","1.1.5.1.3","978.5","","","","1"
"2023","Canada","2021A000011124","Population","Some postsecondary","Total - Gender","25 years and over","Persons in thousands","428","thousands","3","v2582575","1.1.5.1.3","1027.5","","","","1"
"2024","Canada","2021A000011124","Population","Some postsecondary","Total - Gender","25 years and over","Persons in thousands","428","thousands","3","v2582575","1.1.5.1.3","1065.4","","","","1"
"2025","Canada","2021A000011124","Population","Some postsecondary","Total - Gender","25 years and over","Persons in thousands","428","thousands","3","v2582575","1.1.5.1.3","1096.1","","","","1"
"2015","Canada","2021A000011124","Population","Some postsecondary","Men+","25 years and over","Persons in thousands","428","thousands","3","v2583385","1.1.5.2.3","560.5","","","","1"
"2016","Canada","2021A000011124","Population","Some postsecondary","Men+","25 years and over","Persons in thousands","428","thousands","3","v2583385","1.1.5.2.3","584.9","","","","1"
"2017","Canada","2021A000011124","Population","Some postsecondary","Men+","25 years and over","Persons in thousands","428","thousands","3","v2583385","1.1.5.2.3","596.2","","","","1"
"2018","Canada","2021A000011124","Population","Some postsecondary","Men+","25 years and over","Persons in thousands","428","thousands","3","v2583385","1.1.5.2.3","599.1","","","","1"
"2019","Canada","2021A000011124","Population","Some postsecondary","Men+","25 years and over","Persons in thousands","428","thousands","3","v2583385","1.1.5.2.3","549.3","","","","1"
"2020","Canada","2021A000011124","Population","Some postsecondary","Men+","25 years and over","Persons in thousands","428","thousands","3","v2583385","1.1.5.2.3","576.2","","","","1"
"2021","Canada","2021A000011124","Population","Some postsecondary","Men+","25 years and over","Persons in thousands","428","thousands","3","v2583385","1.1.5.2.3","517.8","","","","1"
"2022","Canada","2021A000011124","Population","Some postsecondary","Men+","25 years and over","Persons in thousands","428","thousands","3","v2583385","1.1.5.2.3","534.1","","","","1"
"2023","Canada","2021A000011124","Population","Some postsecondary","Men+","25 years and over","Persons in thousands","428","thousands","3","v2583385","1.1.5.2.3","545.7","","","","1"
"2024","Canada","2021A000011124","Population","Some postsecondary","Men+","25 years and over","Persons in thousands","428","thousands","3","v2583385","1.1.5.2.3","573.2","","","","1"
"2025","Canada","2021A000011124","Population","Some postsecondary","Men+","25 years and over","Persons in thousands","428","thousands","3","v2583385","1.1.5.2.3","590.9","","","","1"
"2015","Canada","2021A000011124","Population","Some postsecondary","Women+","25 years and over","Persons in thousands","428","thousands","3","v2584195","1.1.5.3.3","530.8","","","","1"
"2016","Canada","2021A000011124","Population","Some postsecondary","Women+","25 years and over","Persons in thousands","428","thousands","3","v2584195","1.1.5.3.3","534.9","","","","1"
"2017","Canada","2021A000011124","Population","Some postsecondary","Women+","25 years and over","Persons in thousands","428","thousands","3","v2584195","1.1.5.3.3","535.9","","","","1"
"2018","Canada","2021A000011124","Population","Some postsecondary","Women+","25 years and over","Persons in thousands","428","thousands","3","v2584195","1.1.5.3.3","568.9","","","","1"
"2019","Canada","2021A000011124","Population","Some postsecondary","Women+","25 years and over","Persons in thousands","428","thousands","3","v2584195","1.1.5.3.3","539.8","","","","1"
"2020","Canada","2021A000011124","Population","Some postsecondary","Women+","25 years and over","Persons in thousands","428","thousands","3","v2584195","1.1.5.3.3","534.9","","","","1"
"2021","Canada","2021A000011124","Population","Some postsecondary","Women+","25 years and over","Persons in thousands","428","thousands","3","v2584195","1.1.5.3.3","490.7","","","","1"
"2022","Canada","2021A000011124","Population","Some postsecondary","Women+","25 years and over","Persons in thousands","428","thousands","3","v2584195","1.1.5.3.3","444.4","","","","1"
"2023","Canada","2021A000011124","Population","Some postsecondary","Women+","25 years and over","Persons in thousands","428","thousands","3","v2584195","1.1.5.3.3","481.8","","","","1"
"2024","Canada","2021A000011124","Population","Some postsecondary","Women+","25 years and over","Persons in thousands","428","thousands","3","v2584195","1.1.5.3.3","492.1","","","","1"
"2025","Canada","2021A000011124","Population","Some postsecondary","Women+","25 years and over","Persons in thousands","428","thousands","3","v2584195","1.1.5.3.3","505.2","","","","1"
"2015","Canada","2021A000011124","Population","Postsecondary certificate or diploma","Total - Gender","25 years and over","Persons in thousands","428","thousands","3","v2582576","1.1.6.1.3","8463.5","","","","1"
"2016","Canada","2021A000011124","Population","Postsecondary certificate or diploma","Total - Gender","25 years and over","Persons in thousands","428","thousands","3","v2582576","1.1.6.1.3","8556.6","","","","1"
"2017","Canada","2021A000011124","Population","Postsecondary certificate or diploma","Total - Gender","25 years and over","Persons in thousands","428","thousands","3","v2582576","1.1.6.1.3","8709.9","","","","1"
"2018","Canada","2021A000011124","Population","Postsecondary certificate or diploma","Total - Gender","25 years and over","Persons in thousands","428","thousands","3","v2582576","1.1.6.1.3","8938.2","","","","1"
"2019","Canada","2021A000011124","Population","Postsecondary certificate or diploma","Total - Gender","25 years and over","Persons in thousands","428","thousands","3","v2582576","1.1.6.1.3","9114.7","","","","1"
"2020","Canada","2021A000011124","Population","Postsecondary certificate or diploma","Total - Gender","25 years and over","Persons in thousands","428","thousands","3","v2582576","1.1.6.1.3","9155.3","","","","1"
"2021","Canada","2021A000011124","Population","Postsecondary certificate or diploma","Total - Gender","25 years and over","Persons in thousands","428","thousands","3","v2582576","1.1.6.1.3","9375.5","","","","1"
"2022","Canada","2021A000011124","Population","Postsecondary certificate or diploma","Total - Gender","25 years and over","Persons in thousands","428","thousands","3","v2582576","1.1.6.1.3","9581.9","","","","1"
"2023","Canada","2021A000011124","Population","Postsecondary certificate or diploma","Total - Gender","25 years and over","Persons in thousands","428","thousands","3","v2582576","1.1.6.1.3","9892.4","","","","1"
"2024","Canada","2021A000011124","Population","Postsecondary certificate or diploma","Total - Gender","25 years and over","Persons in thousands","428","thousands","3","v2582576","1.1.6.1.3","9915.5","","","","1"
"2025","Canada","2021A000011124","Population","Postsecondary certificate or diploma","Total - Gender","25 years and over","Persons in thousands","428","thousands","3","v2582576","1.1.6.1.3","9997.8","","","","1"
"2015","Canada","2021A000011124","Population","Postsecondary certificate or diploma","Men+","25 years and over","Persons in thousands","428","thousands","3","v2583386","1.1.6.2.3","4210.3","","","","1"
"2016","Canada","2021A000011124","Population","Postsecondary certificate or diploma","Men+","25 years and over","Persons in thousands","428","thousands","3","v2583386","1.1.6.2.3","4233.2","","","","1"
"2017","Canada","2021A000011124","Population","Postsecondary certificate or diploma","Men+","25 years and over","Persons in thousands","428","thousands","3","v2583386","1.1.6.2.3","4310.3","","","","1"
"2018","Canada","2021A000011124","Population","Postsecondary certificate or diploma","Men+","25 years and over","Persons in thousands","428","thousands","3","v2583386","1.1.6.2.3","4418.4","","","","1"
"2019","Canada","2021A000011124","Population","Postsecondary certificate or diploma","Men+","25 years and over","Persons in thousands","428","thousands","3","v2583386","1.1.6.2.3","4544.1","","","","1"
"2020","Canada","2021A000011124","Population","Postsecondary certificate or diploma","Men+","25 years and over","Persons in thousands","428","thousands","3","v2583386","1.1.6.2.3","4564.9","","","","1"
"2021","Canada","2021A000011124","Population","Postsecondary certificate or diploma","Men+","25 years and over","Persons in thousands","428","thousands","3","v2583386","1.1.6.2.3","4669.2","","","","1"
"2022","Canada","2021A000011124","Population","Postsecondary certificate or diploma","Men+","25 years and over","Persons in thousands","428","thousands","3","v2583386","1.1.6.2.3","4732.2","","","","1"
"2023","Canada","2021A000011124","Population","Postsecondary certificate or diploma","Men+","25 years and over","Persons in thousands","428","thousands","3","v2583386","1.1.6.2.3","4917.4","","","","1"
"2024","Canada","2021A000011124","Population","Postsecondary certificate or diploma","Men+","25 years and over","Persons in thousands","428","thousands","3","v2583386","1.1.6.2.3","4943.5","","","","1"
"2025","Canada","2021A000011124","Population","Postsecondary certificate or diploma","Men+","25 years and over","Persons in thousands","428","thousands","3","v2583386","1.1.6.2.3","5020.8","","","","1"
"2015","Canada","2021A000011124","Population","Postsecondary certificate or diploma","Women+","25 years and over","Persons in thousands","428","thousands","3","v2584196","1.1.6.3.3","4253.3","","","","1"
"2016","Canada","2021A000011124","Population","Postsecondary certificate or diploma","Women+","25 years and over","Persons in thousands","428","thousands","3","v2584196","1.1.6.3.3","4323.4","","","","1"
"2017","Canada","2021A000011124","Population","Postsecondary certificate or diploma","Women+","25 years and over","Persons in thousands","428","thousands","3","v2584196","1.1.6.3.3","4399.6","","","","1"
"2018","Canada","2021A000011124","Population","Postsecondary certificate or diploma","Women+","25 years and over","Persons in thousands","428","thousands","3","v2584196","1.1.6.3.3","4519.8","","","","1"
"2019","Canada","2021A000011124","Population","Postsecondary certificate or diploma","Women+","25 years and over","Persons in thousands","428","thousands","3","v2584196","1.1.6.3.3","4570.5","","","","1"
"2020","Canada","2021A000011124","Population","Postsecondary certificate or diploma","Women+","25 years and over","Persons in thousands","428","thousands","3","v2584196","1.1.6.3.3","4590.4","","","","1"
"2021","Canada","2021A000011124","Population","Postsecondary certificate or diploma","Women+","25 years and over","Persons in thousands","428","thousands","3","v2584196","1.1.6.3.3","4706.3","","","","1"
"2022","Canada","2021A000011124","Population","Postsecondary certificate or diploma","Women+","25 years and over","Persons in thousands","428","thousands","3","v2584196","1.1.6.3.3","4849.7","","","","1"
"2023","Canada","2021A000011124","Population","Postsecondary certificate or diploma","Women+","25 years and over","Persons in thousands","428","thousands","3","v2584196","1.1.6.3.3","4975.0","","","","1"
"2024","Canada","2021A000011124","Population","Postsecondary certificate or diploma","Women+","25 years and over","Persons in thousands","428","thousands","3","v2584196","1.1.6.3.3","4971.9","","","","1"
"2025","Canada","2021A000011124","Population","Postsecondary certificate or diploma","Women+","25 years and over","Persons in thousands","428","thousands","3","v2584196","1.1.6.3.3","4977.0","","","","1"
"2015","Canada","2021A000011124","Population","University degree","Total - Gender","25 years and over","Persons in thousands","428","thousands","3","v2582577","1.1.7.1.3","6556.2","","","","1"
"2016","Canada","2021A000011124","Population","University degree","Total - Gender","25 years and over","Persons in thousands","428","thousands","3","v2582577","1.1.7.1.3","6867.4","","","","1"
"2017","Canada","2021A000011124","Population","University degree","Total - Gender","25 years and over","Persons in thousands","428","thousands","3","v2582577","1.1.7.1.3","7091.2","","","","1"
"2018","Canada","2021A000011124","Population","University degree","Total - Gender","25 years and over","Persons in thousands","428","thousands","3","v2582577","1.1.7.1.3","7347.6","","","","1"
"2019","Canada","2021A000011124","Population","University degree","Total - Gender","25 years and over","Persons in thousands","428","thousands","3","v2582577","1.1.7.1.3","7786.0","","","","1"
"2020","Canada","2021A000011124","Population","University degree","Total - Gender","25 years and over","Persons in thousands","428","thousands","3","v2582577","1.1.7.1.3","8237.9","","","","1"
"2021","Canada","2021A000011124","Population","University degree","Total - Gender","25 years and over","Persons in thousands","428","thousands","3","v2582577","1.1.7.1.3","8530.0","","","","1"
"2022","Canada","2021A000011124","Population","University degree","Total - Gender","25 years and over","Persons in thousands","428","thousands","3","v2582577","1.1.7.1.3","8843.1","","","","1"
"2023","Canada","2021A000011124","Population","University degree","Total - Gender","25 years and over","Persons in thousands","428","thousands","3","v2582577","1.1.7.1.3","9219.4","","","","1"
"2024","Canada","2021A000011124","Population","University degree","Total - Gender","25 years and over","Persons in thousands","428","thousands","3","v2582577","1.1.7.1.3","10002.9","","","","1"
"2025","Canada","2021A000011124","Population","University degree","Total - Gender","25 years and over","Persons in thousands","428","thousands","3","v2582577","1.1.7.1.3","10281.2","","","","1"
"2015","Canada","2021A000011124","Population","University degree","Men+","25 years and over","Persons in thousands","428","thousands","3","v2583387","1.1.7.2.3","3116.9","","","","1"
"2016","Canada","2021A000011124","Population","University degree","Men+","25 years and over","Persons in thousands","428","thousands","3","v2583387","1.1.7.2.3","3262.7","","","","1"
"2017","Canada","2021A000011124","Population","University degree","Men+","25 years and over","Persons in thousands","428","thousands","3","v2583387","1.1.7.2.3","3346.5","","","","1"
"2018","Canada","2021A000011124","Population","University degree","Men+","25 years and over","Persons in thousands","428","thousands","3","v2583387","1.1.7.2.3","3461.0","","","","1"
"2019","Canada","2021A000011124","Population","University degree","Men+","25 years and over","Persons in thousands","428","thousands","3","v2583387","1.1.7.2.3","3672.2","","","","1"
"2020","Canada","2021A000011124","Population","University degree","Men+","25 years and over","Persons in thousands","428","thousands","3","v2583387","1.1.7.2.3","3866.1","","","","1"
"2021","Canada","2021A000011124","Population","University degree","Men+","25 years and over","Persons in thousands","428","thousands","3","v2583387","1.1.7.2.3","4033.4","","","","1"
"2022","Canada","2021A000011124","Population","University degree","Men+","25 years and over","Persons in thousands","428","thousands","3","v2583387","1.1.7.2.3","4137.0","","","","1"
"2023","Canada","2021A000011124","Population","University degree","Men+","25 years and over","Persons in thousands","428","thousands","3","v2583387","1.1.7.2.3","4320.7","","","","1"
"2024","Canada","2021A000011124","Population","University degree","Men+","25 years and over","Persons in thousands","428","thousands","3","v2583387","1.1.7.2.3","4690.3","","","","1"
"2025","Canada","2021A000011124","Population","University degree","Men+","25 years and over","Persons in thousands","428","thousands","3","v2583387","1.1.7.2.3","4763.7","","","","1"
"2015","Canada","2021A000011124","Population","University degree","Women+","25 years and over","Persons in thousands","428","thousands","3","v2584197","1.1.7.3.3","3439.3","","","","1"
"2016","Canada","2021A000011124","Population","University degree","Women+","25 years and over","Persons in thousands","428","thousands","3","v2584197","1.1.7.3.3","3604.7","","","","1"
"2017","Canada","2021A000011124","Population","University degree","Women+","25 years and over","Persons in thousands","428","thousands","3","v2584197","1.1.7.3.3","3744.7","","","","1"
"2018","Canada","2021A000011124","Population","University degree","Women+","25 years and over","Persons in thousands","428","thousands","3","v2584197","1.1.7.3.3","3886.6","","","","1"
"2019","Canada","2021A000011124","Population","University degree","Women+","25 years and over","Persons in thousands","428","thousands","3","v2584197","1.1.7.3.3","4113.8","","","","1"
"2020","Canada","2021A000011124","Population","University degree","Women+","25 years and over","Persons in thousands","428","thousands","3","v2584197","1.1.7.3.3","4371.8","","","","1"
"2021","Canada","2021A000011124","Population","University degree","Women+","25 years and over","Persons in thousands","428","thousands","3","v2584197","1.1.7.3.3","4496.6","","","","1"
"2022","Canada","2021A000011124","Population","University degree","Women+","25 years and over","Persons in thousands","428","thousands","3","v2584197","1.1.7.3.3","4706.1","","","","1"
"2023","Canada","2021A000011124","Population","University degree","Women+","25 years and over","Persons in thousands","428","thousands","3","v2584197","1.1.7.3.3","4898.8","","","","1"
"2024","Canada","2021A000011124","Population","University degree","Women+","25 years and over","Persons in thousands","428","thousands","3","v2584197","1.1.7.3.3","5312.6","","","","1"
"2025","Canada","2021A000011124","Population","University degree","Women+","25 years and over","Persons in thousands","428","thousands","3","v2584197","1.1.7.3.3","5517.5","","","","1"
"2015","Canada","2021A000011124","Population","Bachelor's degree","Total - Gender","25 years and over","Persons in thousands","428","thousands","3","v2582578","1.1.8.1.3","4432.3","","","","1"
"2016","Canada","2021A000011124","Population","Bachelor's degree","Total - Gender","25 years and over","Persons in thousands","428","thousands","3","v2582578","1.1.8.1.3","4590.8","","","","1"
"2017","Canada","2021A000011124","Population","Bachelor's degree","Total - Gender","25 years and over","Persons in thousands","428","thousands","3","v2582578","1.1.8.1.3","4767.4","","","","1"
"2018","Canada","2021A000011124","Population","Bachelor's degree","Total - Gender","25 years and over","Persons in thousands","428","thousands","3","v2582578","1.1.8.1.3","4937.6","","","","1"
"2019","Canada","2021A000011124","Population","Bachelor's degree","Total - Gender","25 years and over","Persons in thousands","428","thousands","3","v2582578","1.1.8.1.3","5210.9","","","","1"
"2020","Canada","2021A000011124","Population","Bachelor's degree","Total - Gender","25 years and over","Persons in thousands","428","thousands","3","v2582578","1.1.8.1.3","5522.8","","","","1"
"2021","Canada","2021A000011124","Population","Bachelor's degree","Total - Gender","25 years and over","Persons in thousands","428","thousands","3","v2582578","1.1.8.1.3","5748.8","","","","1"
"2022","Canada","2021A000011124","Population","Bachelor's degree","Total - Gender","25 years and over","Persons in thousands","428","thousands","3","v2582578","1.1.8.1.3","5859.0","","","","1"
"2023","Canada","2021A000011124","Population","Bachelor's degree","Total - Gender","25 years and over","Persons in thousands","428","thousands","3","v2582578","1.1.8.1.3","6083.1","","","","1"
